xp,yp,gpz,vor,up,vp,sp,active,chi
6.6,0.72,0,0,0.975211,-0.00664198,0.16,0,0
6.76,0.72,0,0,0.976514,-0.00609045,0.16,0,0
6.92,0.72,0,0,0.977717,-0.00560068,0.16,0,0
6.44,0.88,-1.13665e-06,-4.44004e-05,0.974522,-0.00868411,0.16,1,0
6.6,0.88,0,0,0.975848,-0.00795888,0.16,0,0
6.76,0.88,0,0,0.97708,-0.00731202,0.16,0,0
6.92,0.88,0,0,0.978222,-0.00673482,0.16,0,0
6.44,1.04,0,0,0.975343,-0.0100113,0.16,0,0
6.6,1.04,0,0,0.976577,-0.00919434,0.16,0,0
6.76,1.04,0,0,0.977731,-0.00846396,0.16,0,0
6.92,1.04,0,0,0.978807,-0.00780841,0.16,0,0
